run_label,config_name,checkpoint_step,checkpoint_label,env_name,task_one_hot_idx,eval_seed,success_rate,avg_return,std_return,avg_steps,std_steps,avg_first_success_step,episodes,goals
pickplace_push,config_1,1550000,1550000,push-v3,1,67,0.66,1491.7504919584803,1644.7299133044878,218.56,216.2400555693904,73.57575757575758,50,50
pickplace_push,config_1,1600000,1600000,pick-place-v3,0,67,0.7,651.471697487501,955.6239360944627,191.56,209.33072748497233,59.371428571428574,50,50
pickplace_push,config_1,1600000,1600000,push-v3,1,67,0.72,1172.1049402439062,1543.543402643122,178.78,204.00032913138716,53.861111111111114,50,50
pickplace_push,config_1,1650000,1650000,pick-place-v3,0,67,0.72,641.8394874975213,1044.3284170001386,170.58,207.62535824834862,42.47222222222222,50,50
pickplace_push,config_1,1650000,1650000,push-v3,1,67,0.72,1181.0221563224745,1592.9397674423656,175.58,205.3884413416069,49.416666666666664,50,50
pickplace_push,config_1,1700000,1700000,pick-place-v3,0,67,0.74,572.8177612656162,1023.5007722901257,160.4,203.41161646839572,41.08108108108108,50,50
pickplace_push,config_1,1700000,1700000,push-v3,1,67,0.66,1568.585289545747,1680.9428702814857,224.02,215.6662661784335,81.84848484848484,50,50
pickplace_push,config_1,1750000,1750000,pick-place-v3,0,67,0.8,498.21476197511845,996.9184226635118,133.02,185.4047409296312,41.275,50,50
pickplace_push,config_1,1750000,1750000,push-v3,1,67,0.68,1387.462836294345,1678.4563419114545,199.14,212.2203331349717,57.55882352941177,50,50
pickplace_push,config_1,1800000,1800000,pick-place-v3,0,67,0.8,455.337926922831,948.8160027676892,132.8,185.51087761715135,41.0,50,50
pickplace_push,config_1,1800000,1800000,push-v3,1,67,0.7,1332.9667529737944,1634.6235591487311,195.1,209.89834760314483,64.42857142857143,50,50
pickplace_push,config_1,1850000,1850000,pick-place-v3,0,67,0.92,273.7215866868277,728.9598296609445,78.52,125.64742377797016,41.869565217391305,50,50
pickplace_push,config_1,1850000,1850000,push-v3,1,67,0.82,907.297819389592,1415.2618547959096,138.68,177.61417023815343,59.36585365853659,50,50
pickplace_push,config_1,1900000,1900000,pick-place-v3,0,67,0.94,145.66861958272833,426.3558423790331,69.16,110.08871376285212,41.659574468085104,50,50
pickplace_push,config_1,1900000,1900000,push-v3,1,67,0.92,490.81393213234765,998.1795518290076,86.56,125.43494289056454,50.608695652173914,50,50
pickplace_push,config_1,1950000,1950000,pick-place-v3,0,67,0.94,144.4650497670605,423.008332375396,70.16,109.84559850173372,42.723404255319146,50,50
pickplace_push,config_1,1950000,1950000,push-v3,1,67,0.74,1164.9716570183273,1583.5416462719895,173.14,203.35693060353213,58.2972972972973,50,50
pickplace_push,config_1,2000000,2000000,pick-place-v3,0,67,0.98,57.27354990303749,21.178628240576302,50.36,65.10925198370467,41.183673469387756,50,50
pickplace_push,config_1,2000000,2000000,push-v3,1,67,0.94,526.4371247197563,1002.1562514092402,89.2,125.35109875539055,62.97872340425532,50,50
pickplace_push,config_1,2050000,2050000,pick-place-v3,0,67,0.98,55.12584703845365,22.443665429265714,50.16,65.13169077228952,40.97959183673469,50,50
pickplace_push,config_1,2050000,2050000,push-v3,1,67,0.84,699.9815053833315,1283.088531184149,120.48,170.5308925271971,48.19047619047619,50,50
pickplace_push,config_1,2100000,2100000,pick-place-v3,0,67,0.98,54.185256018921216,23.709186937381432,50.02,65.1417575095159,40.83673469387755,50,50
pickplace_push,config_1,2100000,2100000,push-v3,1,67,0.9,478.3645846776558,1010.957794855981,92.44,139.89006762600465,47.15555555555556,50,50
pickplace_push,config_1,2150000,2150000,pick-place-v3,0,67,0.98,53.696056460748,25.213641106383047,50.18,65.1615543343259,41.0,50,50
pickplace_push,config_1,2150000,2150000,push-v3,1,67,0.94,371.43674682673316,881.340542906045,70.36,110.91065718654372,42.93617021276596,50,50
pickplace_push,config_1,2200000,2200000,pick-place-v3,0,67,0.98,54.534078141122315,22.43609592832774,49.88,65.18784161082151,40.69387755102041,50,50
